comuna,manzana,ubicacionX,ubicacionY,valorAfecto,valorExento,valorTotal,Identificador,tipo,antiguedad
15160.0,2433.0,-33.38465,-70.56066,1825.7671308423583,843.8033238743618,2669.57045471672,300400,0,0
13101.0,62.0,-33.446124,-70.66318199999999,1538.5112486029927,843.8033238743618,2382.3145724773544,301540,0,43
13135.0,2832.0,-33.455414000000005,-70.631025,61.43052792158689,843.8033238743618,905.2338517959487,302528,0,3
14158.0,27.0,-33.343373,-70.662059,2896.739972759062,843.8033238743618,3740.5432966334233,303276,1,19
15108.0,737.0,-33.407212,-70.580896,2568.6488891988142,843.8033238743618,3412.452213073176,303373,0,12
14157.0,1388.0,-33.468707,-70.695483,0.0,574.5672886043574,574.5672886043574,303660,1,30
13135.0,2824.0,-33.454949,-70.656904,203.01014993013558,843.8033238743618,1046.8134738044973,303722,0,7
14109.0,5970.0,-33.544571000000005,-70.78697700000001,0.0,621.843588425638,621.843588425638,303911,1,13
15151.0,7635.0,-33.483939899999996,-70.60005,0.0,765.0437200939224,765.0437200939224,304040,0,0
15108.0,321.0,-33.411731,-70.586874,801.3819171307111,843.8033238743618,1645.1852410050728,304114,0,18
16301.0,328.0,-33.607696999999995,-70.583628,0.0,201.97971063720027,201.97971063720027,304209,1,45
15108.0,2054.0,-33.387145000000004,-70.532844,1504.2080988741836,843.8033238743618,2348.0114227485456,304271,1,30
14157.0,529.0,-33.451466100000005,-70.6912418,0.0,763.1665847488986,763.1665847488986,304377,0,4
16106.0,2162.0,-33.482310999999996,-70.655447,410.3132033071534,843.8033238743618,1254.116527181515,304477,0,0
14201.0,1486.0,-33.22744,-70.70857,679.4035111792447,843.8033238743618,1523.2068350536065,304483,1,0
13101.0,540.0,-33.450555,-70.654909,25.856659277196606,843.8033238743618,869.6599831515583,304518,0,6
16106.0,4756.0,-33.49558,-70.658098,768.7887305145373,843.8033238743618,1612.592054388899,304520,0,3
13101.0,658.0,-33.453537,-70.659876,482.87851163850905,843.8033238743618,1326.6818355128707,304524,0,8
15128.0,69.0,-33.5150144,-70.607169,0.0,477.20582804616936,477.20582804616936,304580,0,1
13101.0,180.0,-33.436651,-70.647456,0.0,753.3599594197748,753.3599594197748,304630,0,10
15160.0,1239.0,-33.394487,-70.589667,2125.059451304667,2125.059451304667,4250.118902609334,304654,0,7
15128.0,6572.0,-33.5177,-70.53965,942.6285068584104,843.8033238743618,1786.4318307327721,304664,0,1
14107.0,3141.0,-33.428323,-70.71106800000001,0.0,716.8489290142237,716.8489290142237,304711,1,45
15160.0,1963.0,-33.381932,-70.555355,2208.360448676925,843.8033238743618,3052.163772551287,304740,1,42
13135.0,3488.0,-33.469532,-70.65241999999999,0.0,611.6262870181145,611.6262870181145,304743,1,40
14158.0,6076.0,-33.386521,-70.60421,707.8859629686699,843.8033238743618,1551.6892868430316,304880,0,20
15151.0,7664.0,-33.485815,-70.582679,0.0,816.3193315810054,816.3193315810054,304906,1,43
13134.0,867.0,-33.456478000000004,-70.676234,209.74802694400987,843.8033238743618,1053.5513508183717,304909,0,11
16110.0,3228.0,-33.526948,-70.677049,0.0,491.2348363088041,491.2348363088041,304915,0,9
13101.0,179.0,-33.438185,-70.656063,1035.7171591292947,1035.7172341112334,2071.434393240528,304925,0,12
15103.0,122.0,-33.425881,-70.61585600000001,189.70314275548878,843.8033238743618,1033.5064666298506,304953,0,11
13135.0,3001.0,-33.457464,-70.629839,0.0,545.1628588963633,545.1628588963633,305018,0,3
15108.0,248.0,-33.419216999999996,-70.59614,2085.4440936539413,843.8033238743618,2929.247417528303,305024,0,27
16301.0,7589.0,-33.597994299999996,-70.59005079999999,0.0,590.2643075849105,590.2643075849105,305057,1,3
16163.0,4538.0,-33.498771999999995,-70.638614,0.0,392.4935956051586,392.4935956051586,305065,0,10
13135.0,3494.0,-33.468804999999996,-70.655107,192.84372376803736,843.8033238743618,1036.6470476423992,305068,0,7
13101.0,1922.0,-33.448113,-70.65391600000001,584.8321285610328,843.8033238743618,1428.6354524353947,305079,0,7
13101.0,331.0,-33.443733,-70.646313,955.1592635124015,843.8033238743618,1798.9625873867633,305088,1,90
13101.0,1810.0,-33.43828,-70.657524,889.096388907322,889.096388907322,1778.192777814644,305090,0,9
13135.0,3314.0,-33.463978999999995,-70.66434100000001,944.7053565972296,944.705394088199,1889.4107506854286,305091,0,9
14111.0,490.0,-33.451744,-70.75559100000001,0.0,577.8802905850054,577.8802905850054,305123,1,8
