longitud,latitud
-71.55134806115089,-33.022662415170743
-71.55135315750411,-33.02268336218237
-71.551352551045795,-33.022662323320681
-71.55134806115089,-33.022662415170743
-71.551522846506643,-33.023371721092055
-71.551529747178222,-33.023387200927687
-71.551550625352689,-33.023409246637534
-71.551567003996198,-33.023418350389768
-71.551565878047143,-33.023379294048233
-71.551544484052997,-33.023379731746537
-71.551543964483272,-33.02336170900309
-71.55152257049302,-33.02336214669743
-71.551522846506643,-33.023371721092055
-71.551470302746409,-33.023164848901708
-71.551474575950266,-33.023182412374553
-71.551474067418113,-33.023164771883309
-71.551470302746409,-33.023164848901708
-71.551479034349242,-33.023200737016779
-71.551500863391524,-33.023290457299474
-71.551520492236136,-33.023290055721809
-71.551518933548337,-33.023235987489478
-71.551497539588041,-33.023236425178062
-71.551496500473846,-33.02320037968893
-71.551479034349242,-33.023200737016779
-71.551505229206015,-33.023308401355159
-71.551517977678074,-33.023360799156258
-71.551518614470339,-33.023362227632319
-71.55152257049302,-33.02336214669743
-71.551521011799665,-33.02330807846581
-71.551505229206015,-33.023308401355159
-71.551516335744608,-33.023145873767724
-71.551494941806041,-33.023146311454809
-71.551495461361498,-33.023164334199578
-71.551516855304442,-33.023163896512195
-71.551516335744608,-33.023145873767724
-71.537914190007044,-33.029552022672974
-71.537899579847547,-33.029567018321366
-71.537896720638741,-33.029573171651201
-71.537914786039536,-33.029572803997091
-71.537914190007044,-33.029552022672974
-71.548688760947471,-33.023822990814587
-71.548624787505091,-33.02383156062146
-71.548624920036445,-33.023836163036925
-71.54864631418954,-33.023835725833791
-71.548667708342194,-33.023835288626998
-71.548668227335995,-33.023853311409511
-71.548689621492514,-33.023852874198752
-71.548688760947471,-33.023822990814587
-71.548582138535394,-33.023837273808134
-71.548432867090426,-33.023857269848612
-71.548432891583587,-33.023858120486111
-71.548454285745208,-33.023857683315647
-71.54847567990636,-33.02385724614151
-71.548476198861508,-33.023875268926666
-71.54858316968209,-33.023873082999565
-71.548582138535394,-33.023837273808134
-71.54721809191274,-33.024045238371777
-71.547175303457209,-33.024046112289582
-71.547175822151473,-33.024064135092452
-71.547218610615687,-33.024063261174049
-71.54721809191274,-33.024045238371777
-71.54732569720359,-33.024005577826522
-71.547324559178264,-33.024005735564259
-71.547323991317114,-33.024005816923768
-71.547324025595543,-33.024007007911436
-71.547314290845378,-33.024007206744884
-71.547281353550161,-33.024011925782517
-71.54728227459259,-33.024043927467595
-71.547303668818273,-33.024043490492211
-71.5473041875386,-33.024061513293297
-71.547411158681825,-33.024059328359947
-71.547410639939784,-33.024041305560353
-71.547496216828662,-33.024039557548946
-71.547495698069696,-33.024021534750503
-71.547538486502688,-33.024020660723416
-71.547537448968754,-33.023984615127553
-71.547580237382505,-33.023983741087015
-71.547581274933819,-33.024019786681684
-71.547645457577048,-33.024018475591618
-71.547643901211671,-33.023964407202222
-71.547665295412116,-33.023963970165767
-71.547665814204464,-33.023981992961986
-71.547687208408789,-33.023981555921573
-71.54768772720594,-33.023999578717451
-71.547730515621922,-33.023998704625036
-71.547729996816074,-33.023980681829762
-71.54775139101902,-33.023980244778365
-71.547750872209292,-33.023962221983339
-71.547729478010694,-33.023962659034439
-71.547729157780253,-33.023951534531577
-71.54732569720359,-33.024005577826522
-71.547132121311776,-33.024033306675477
-71.547068164612455,-33.024042469861655
-71.547068332310289,-33.024048297019995
-71.54702070296895,-33.02404926975062
-71.546982888989376,-33.024054687393161
-71.546983274039576,-33.024068067543972
-71.546873908908793,-33.024070300999114
-71.546791018737153,-33.024082176629783
-71.546791244506764,-33.024090022507004
-71.546727114767378,-33.024091332078008
-71.546684424092575,-33.024097448302719
-71.546684791870035,-33.024110229720392
-71.546620609112281,-33.024111540319602
-71.546621127694948,-33.024129563130082
-71.546433526240662,-33.024133393727013
-71.546428596770738,-33.024134099952903
-71.54643013499107,-33.024187563171729
-71.546451529265653,-33.024187126340756
-71.546515712086645,-33.024185815825859
-71.546515193524314,-33.024167793014087
-71.546664953393375,-33.024164735019902
-71.546664434801087,-33.024146712210147
-71.546792800359043,-33.024144090931223
-71.546792281741162,-33.024126068123202
-71.546963435757789,-33.024122572881929
-71.546962917105603,-33.024104550076238
-71.547112676815473,-33.024101491549935
-71.547112158133345,-33.024083468746298
-71.547154946609027,-33.024082594849268
-71.547153909228754,-33.024046549242982
-71.547132514999831,-33.024046986192737
-71.547132121311776,-33.024033306675477
-71.548326244581105,-33.023871552627163
-71.548283595566033,-33.023877265713502
-71.548283651355334,-33.023879203364693
-71.548266517147908,-33.023879553463757
-71.548240946544482,-33.023882978785508
-71.548241381923347,-33.023898100432348
-71.54815580522083,-33.023899848948147
-71.54815632411173,-33.023917871737666
-71.548134929930612,-33.023918308857759
-71.548134411044046,-33.023900286067935
-71.548107664613838,-33.023900832538303
-71.548049025867286,-33.023908687432147
-71.548049353201463,-33.023920057301503
-71.547948811989869,-33.023922111413988
-71.547771806879595,-33.023945821631578
-71.547772785221511,-33.0239798077233
-71.547794179423533,-33.023979370664577
-71.547815573625087,-33.023978933602187
-71.547816092448315,-33.023996956396267
-71.547901669267304,-33.023995208108886
-71.547901150426696,-33.023977185316014
-71.54798672722093,-33.023975436971227
-71.547986208363412,-33.023957414179492
-71.548135967705079,-33.023954354437215
-71.548135448817604,-33.023936331647526
-71.548221025556728,-33.023934583143983
-71.548220506652342,-33.023916560355417
-71.548370265897589,-33.023913500335311
-71.548369228029358,-33.0238774547622
-71.548347833861541,-33.02387789191831
-71.54832643969327,-33.023878329070769
-71.548326244581105,-33.023871552627163
-71.545164963559358,-33.023367786634154
-71.545164943892487,-33.023367792720698
-71.545138625164142,-33.023385222319639
-71.545123208897451,-33.023404601457926
-71.545123673601097,-33.023420761711094
-71.545145067712212,-33.023420325113022
-71.545146104250136,-33.0234563707793
-71.545167498369466,-33.02345593417698
-71.545164963559358,-33.023367786634154
-71.545299858917474,-33.024264736289332
-71.545308274268208,-33.024300631353888
-71.545320223677948,-33.024300387477005
-71.545320741999717,-33.024318410305177
-71.545342136324379,-33.024317973662868
-71.545340581347432,-33.024263905179069
-71.545299858917474,-33.024264736289332
-71.545344701887515,-33.019196432158132
-71.545323308799965,-33.01919686874119
-71.545323827021463,-33.01921489158407
-71.545345220113376,-33.019214455000707
-71.545344701887515,-33.019196432158132
-71.545322272358334,-33.019160823055273
-71.545300879278997,-33.019161259634068
-71.545301915711946,-33.019197305320588
-71.545323308799965,-33.01919686874119
-71.545322272358334,-33.019160823055273
-71.545189256827996,-33.01894713647156
-71.545225530699042,-33.019072630182897
-71.545255502088125,-33.019072018560365
-71.545254465679051,-33.019035972871812
-71.54529725177828,-33.019035099729379
-71.545296733565735,-33.019017076885618
-71.545275340520689,-33.019017513458365
